query	hmm	tlen	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
Cutinase.aln	sp|P00590|CUTI1_FUSVN	230	208	2.3e-90	306.9	5.3e-94	2.6e-90	306.7	1	208	1	225	1	225	0.99	1	1	1.0817307692307692	0.9043478260869565	Cutinase
Esterase_PHB.aln	sp|P12625|PHB_RALPI	488	477	8.6e-180	603.7	3.7e-183	9.5e-180	603.5	10	476	12	488	1	488	0.98	1	1	1.0	0.9569672131147541	Esterase_PHB
FAD_binding_4.aln	sp|O06997|YVDP_BACSU	447	448	4.3e-288	960.0	1.8e-291	4.8e-288	959.8	1	446	1	446	1	447	1.0	1	1	0.9955357142857143	0.9977628635346756	FAD_binding_4
FA_desaturase.aln	sp|Q6H941|ALKB2_PSEAE	377	382	1.4e-244	816.1	3.4e-249	1.6e-244	816.0	1	377	1	377	1	377	1.0	1	1	0.9869109947643979	1.0	FA_desaturase
Glyco_hydro81C.aln	sp|D4AZ24|ENG1_ARTBC	909	714	9.8e-247	825.4	2.6e-251	1.3e-246	825.1	1	710	188	901	188	904	0.96	1	1	1.0	0.7810781078107811	Glyco_hydro81C
Glyco_hydro_18.aln	sp|P32470|CHI1_APHAL	423	428	5e-164	551.2	1.1e-167	5.9e-164	551.0	41	426	37	422	16	423	0.98	1	1	0.9018691588785047	0.9125295508274232	Glyco_hydro_18
Hemocyanin_M.aln	sp|Q24995|ARY_GALME	702	733	0.0	1095.7	0.0	0.0	1095.6	13	733	3	702	1	702	0.97	1	1	0.9549795361527967	1.0270655270655271	Hemocyanin_M
HemolysinCabind.aln	sp|P41773|LIPB_PSEFL	476	617	9e-253	845.3	3e-232	3.2e-228	764.2	1	405	1	405	1	406	1.0	1	2	0.6564019448946515	0.8508403361344538	HemolysinCabind
Hydrolase_4.aln	sp|Q06174|EST_GEOSE	246	271	1.5e-55	193.4	4.2e-58	1.8e-55	193.1	21	265	8	246	3	246	0.91	1	1	0.8819188191881919	0.9959349593495935	Hydrolase_4
Lip_C.aln	sp|Q5U780|LIP_BACSP	416	429	1.4e-137	464.0	1.1e-141	1.6e-137	463.8	42	426	29	414	20	416	0.92	1	1	0.8997668997668997	0.9254807692307693	Lip_C
Lipase_2.aln	sp|P37957|ESTA_BACSU	212	342	1e-40	144.8	9.6e-45	2.1e-40	143.7	34	193	28	181	21	212	0.93	1	1	0.4502923976608187	0.7547169811320755	Lipase_2
Lipase_GDSL_2.aln	sp|Q9HZY8|EST_PSEAE	201	201	3.7e-94	318.8	1.4e-98	4.1e-94	318.7	1	201	1	201	1	201	1.0	1	1	1.0	1.0	Lipase_GDSL_2
MPAB_Lcp_cat.aln	sp|Q3L8N0|LCP_STRK3	407	404	8e-220	734.5	1.7e-224	9e-220	734.3	1	403	1	406	1	407	1.0	1	1	1.004950495049505	0.9901719901719902	MPAB_Lcp_cat
NAD_binding_1.aln	sp|Q3C1D2|TPDR2_COMSP	336	336	6.4e-241	802.9	6.2e-244	7.1e-241	802.7	1	336	1	336	1	336	1.0	1	1	1.0	1.0	NAD_binding_1
PETase.aln	sp|Q47RJ6|PETH2_THEFY	301	300	5e-137	461.0	3.6e-140	6e-137	460.7	14	290	23	301	8	301	0.93	1	1	0.93	0.920265780730897	PETase
PGAP1.aln	sp|P41365|LIPB_PSEA2	342	283	1.9e-110	373.6	9.4e-114	2.1e-110	373.4	1	278	1	301	1	341	0.97	1	1	1.0636042402826855	0.8128654970760234	PGAP1
PQQ_2.aln	sp|Q588Z1|PVADH_SPHS1	654	654	0.0	1392.9	0.0	0.0	1392.8	1	654	1	654	1	654	1.0	1	1	1.0	1.0	PQQ_2
PdxA.aln	sp|Q3C1E1|TPHB_COMSP	315	315	4.4e-219	730.8	2e-222	4.9e-219	730.6	1	315	1	315	1	315	1.0	1	1	1.0	1.0	PdxA
Peptidase_S58.aln	sp|Q79F77|NYLC_PAEUR	355	352	4.5e-165	554.0	1e-169	4.8e-165	553.9	6	337	32	355	1	355	0.96	1	1	0.9204545454545454	0.9352112676056338	Peptidase_S58
Peptidase_S8.aln	sp|P06873|PRTK_PARAQ	384	373	7.9e-169	566.6	5.8e-172	8.9e-169	566.5	1	373	1	382	1	382	0.99	1	1	1.0241286863270778	0.9713541666666666	Peptidase_S8
Peptidase_S9.aln	sp|Q588Z2|OPH_SPHS1	364	269	9.4e-87	295.8	1.3e-89	1.1e-86	295.5	8	269	22	364	3	364	0.92	1	1	1.275092936802974	0.7197802197802198	Peptidase_S9
Peroxidase_ext.aln	sp|P19136|PEM4_PHACH	382	387	1.5e-215	720.3	1.8e-219	1.6e-215	720.2	3	383	1	382	1	382	0.99	1	1	0.9870801033591732	0.9973821989528796	Peroxidase_ext
Polysacc_deac_1.aln	sp|P50325|CDA_AMYRO	421	508	3.6e-114	387.2	5.3e-116	5.8e-112	379.9	1	505	1	419	1	421	0.88	1	1	0.8248031496062992	1.1995249406175772	Polysacc_deac_1
Rieske.aln	sp|Q3C1E3|TPDA1_COMSP	413	413	1e-300	1001.3	1.8e-304	1.1e-300	1001.1	1	413	1	413	1	413	1.0	1	1	1.0	1.0	Rieske
Trypsin.aln	sp|Q00871|CTRB1_PENVA	271	236	5.1e-31	113.5	1e-33	7e-31	113.1	29	236	42	269	34	269	0.81	1	1	0.9661016949152542	0.7675276752767528	Trypsin
Zn_clus.aln	sp|P52960|PIP2_YEAST	996	996	0.0	2397.0	0.0	0.0	2396.8	1	996	1	996	1	996	1.0	1	1	1.0	1.0	Zn_clus
adh_short_C2.aln	sp|O86034|BDHA_RHIME	258	260	1.1e-91	311.8	2.3e-94	1.2e-91	311.7	8	259	2	257	1	258	0.97	1	1	0.9846153846153847	0.9767441860465116	adh_short_C2
fn3.aln	sp|O05527|PHB_DELAC	494	498	1.1e-179	603.4	2.7e-183	1.3e-179	603.2	8	498	10	494	1	494	0.92	1	1	0.9738955823293173	0.9939271255060729	fn3
